-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,
-8.487785,-8.489007,-8.490228,-8.491450,-8.492671,-8.493893,-8.495114,-8.496336,-8.497557,-8.498779,-8.500000,
-6.976038,-6.978434,-6.980830,-6.983226,-6.985623,-6.988019,-6.990415,-6.992811,-6.995208,-6.997604,-7.000000,
-5.518510,-5.516659,-5.514808,-5.512957,-5.511106,-5.509255,-5.507404,-5.505553,-5.503702,-5.501851,-5.500000,
-4.012213,-4.010992,-4.009771,-4.008549,-4.007328,-4.006107,-4.004885,-4.003664,-4.002443,-4.001221,-4.000000,
-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,
-0.988221,-0.989399,-0.990577,-0.991755,-0.992933,-0.994111,-0.995289,-0.996466,-0.997644,-0.998822,-1.000000,
0.469597,0.472637,0.475677,0.478718,0.481758,0.484798,0.487839,0.490879,0.493919,0.496960,0.500000,
1.975572,1.978015,1.980458,1.982901,1.985343,1.987786,1.990229,1.992672,1.995114,1.997557,2.000000,
3.487785,3.489007,3.490228,3.491450,3.492671,3.493893,3.495114,3.496336,3.497557,3.498779,3.500000,
5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,

