0.000000,0.150000,0.300000,0.450000,0.600000,0.750000,0.900000,1.050000,1.200000,1.350000,1.500000,1.650000,1.800000,1.950000,2.100000,2.250000,2.400000,2.550000,2.700000,2.850000,3.000000,
0.000027,0.150025,0.300024,0.450023,0.600021,0.750020,0.900019,1.050017,1.200016,1.350015,1.500013,1.650012,1.800011,1.950009,2.100008,2.250007,2.400005,2.550004,2.700003,2.850001,3.000000,
0.000284,0.150270,0.300256,0.450241,0.600227,0.750213,0.900199,1.050185,1.200170,1.350156,1.500142,1.650128,1.800114,1.950099,2.100085,2.250071,2.400057,2.550043,2.700028,2.850014,3.000000,
0.002754,0.152616,0.302479,0.452341,0.602203,0.752066,0.901928,1.051790,1.201652,1.351515,1.501377,1.651239,1.801102,1.950964,2.100826,2.250689,2.400551,2.550413,2.700275,2.850138,3.000000,
0.025388,0.174119,0.322849,0.471580,0.620311,0.769041,0.917772,1.066502,1.215233,1.363963,1.512694,1.661425,1.810155,1.958886,2.107616,2.256347,2.405078,2.553808,2.702539,2.851269,3.000000,
0.165286,0.307022,0.448757,0.590493,0.732229,0.873964,1.015700,1.157436,1.299172,1.440907,1.582643,1.724379,1.866114,2.007850,2.149586,2.291321,2.433057,2.574793,2.716529,2.858264,3.000000,
0.404571,0.534342,0.664114,0.793885,0.923657,1.053428,1.183199,1.312971,1.442742,1.572514,1.702285,1.832057,1.961828,2.091600,2.221371,2.351143,2.480914,2.610686,2.740457,2.870229,3.000000,
0.487880,0.613486,0.739092,0.864698,0.990304,1.115910,1.241516,1.367122,1.492728,1.618334,1.743940,1.869546,1.995152,2.120758,2.246364,2.371970,2.497576,2.623182,2.748788,2.874394,3.000000,
0.498716,0.623780,0.748844,0.873908,0.998973,1.124037,1.249101,1.374165,1.499229,1.624294,1.749358,1.874422,1.999486,2.124551,2.249615,2.374679,2.499743,2.624807,2.749872,2.874936,3.000000,
0.499865,0.624872,0.749879,0.874886,0.999892,1.124899,1.249906,1.374912,1.499919,1.624926,1.749933,1.874939,1.999946,2.124953,2.249960,2.374966,2.499973,2.624980,2.749987,2.874993,3.000000,
0.499722,0.624736,0.749750,0.874764,0.999778,1.124792,1.249805,1.374819,1.499833,1.624847,1.749861,1.874875,1.999889,2.124903,2.249917,2.374931,2.499944,2.624958,2.749972,2.874986,3.000000,
0.497341,0.622474,0.747607,0.872740,0.997872,1.123005,1.248138,1.373271,1.498404,1.623537,1.748670,1.873803,1.998936,2.124069,2.249202,2.374335,2.499468,2.624601,2.749734,2.874867,3.000000,
0.475475,0.601701,0.727927,0.854154,0.980380,1.106606,1.232832,1.359059,1.485285,1.611511,1.737737,1.863964,1.990190,2.116416,2.242642,2.368869,2.495095,2.621321,2.747547,2.873774,3.000000,
0.338538,0.471611,0.604684,0.737757,0.870830,1.003904,1.136977,1.270050,1.403123,1.536196,1.669269,1.802342,1.935415,2.068488,2.201561,2.334635,2.467708,2.600781,2.733854,2.866927,3.000000,
0.098212,0.243301,0.388390,0.533480,0.678569,0.823659,0.968748,1.113837,1.258927,1.404016,1.549106,1.694195,1.839285,1.984374,2.129463,2.274553,2.419642,2.564732,2.709821,2.854911,3.000000,
0.012558,0.161930,0.311302,0.460674,0.610047,0.759419,0.908791,1.058163,1.207535,1.356907,1.506279,1.655651,1.805023,1.954395,2.103767,2.253140,2.402512,2.551884,2.701256,2.850628,3.000000,
0.001329,0.151263,0.301197,0.451130,0.601064,0.750997,0.900931,1.050864,1.200798,1.350731,1.500665,1.650598,1.800532,1.950465,2.100399,2.250332,2.400266,2.550199,2.700133,2.850066,3.000000,
0.000138,0.150131,0.300124,0.450117,0.600110,0.750103,0.900096,1.050089,1.200083,1.350076,1.500069,1.650062,1.800055,1.950048,2.100041,2.250034,2.400028,2.550021,2.700014,2.850007,3.000000,
0.000014,0.150013,0.300013,0.450012,0.600011,0.750010,0.900010,1.050009,1.200008,1.350008,1.500007,1.650006,1.800006,1.950005,2.100004,2.250003,2.400003,2.550002,2.700001,2.850001,3.000000,
0.000001,0.150001,0.300001,0.450001,0.600001,0.750001,0.900001,1.050001,1.200001,1.350001,1.500001,1.650001,1.800001,1.950000,2.100000,2.250000,2.400000,2.550000,2.700000,2.850000,3.000000,
0.000000,0.150000,0.300000,0.450000,0.600000,0.750000,0.900000,1.050000,1.200000,1.350000,1.500000,1.650000,1.800000,1.950000,2.100000,2.250000,2.400000,2.550000,2.700000,2.850000,3.000000,

