-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,
-9.697557,-9.697606,-9.697655,-9.697704,-9.697753,-9.697801,-9.697850,-9.697899,-9.697948,-9.697997,-9.698046,-9.698095,-9.698143,-9.698192,-9.698241,-9.698290,-9.698339,-9.698388,-9.698437,-9.698485,-9.698534,-9.698583,-9.698632,-9.698681,-9.698730,-9.698779,-9.698827,-9.698876,-9.698925,-9.698974,-9.699023,-9.699072,-9.699121,-9.699169,-9.699218,-9.699267,-9.699316,-9.699365,-9.699414,-9.699463,-9.699511,-9.699560,-9.699609,-9.699658,-9.699707,-9.699756,-9.699805,-9.699853,-9.699902,-9.699951,-9.700000,
-9.395114,-9.395212,-9.395310,-9.395407,-9.395505,-9.395603,-9.395700,-9.395798,-9.395896,-9.395994,-9.396091,-9.396189,-9.396287,-9.396384,-9.396482,-9.396580,-9.396678,-9.396775,-9.396873,-9.396971,-9.397068,-9.397166,-9.397264,-9.397362,-9.397459,-9.397557,-9.397655,-9.397753,-9.397850,-9.397948,-9.398046,-9.398143,-9.398241,-9.398339,-9.398437,-9.398534,-9.398632,-9.398730,-9.398827,-9.398925,-9.399023,-9.399121,-9.399218,-9.399316,-9.399414,-9.399511,-9.399609,-9.399707,-9.399805,-9.399902,-9.400000,
-9.092671,-9.092818,-9.092964,-9.093111,-9.093258,-9.093404,-9.093551,-9.093697,-9.093844,-9.093990,-9.094137,-9.094284,-9.094430,-9.094577,-9.094723,-9.094870,-9.095016,-9.095163,-9.095310,-9.095456,-9.095603,-9.095749,-9.095896,-9.096042,-9.096189,-9.096336,-9.096482,-9.096629,-9.096775,-9.096922,-9.097068,-9.097215,-9.097362,-9.097508,-9.097655,-9.097801,-9.097948,-9.098095,-9.098241,-9.098388,-9.098534,-9.098681,-9.098827,-9.098974,-9.099121,-9.099267,-9.099414,-9.099560,-9.099707,-9.099853,-9.100000,
-8.790228,-8.790424,-8.790619,-8.790815,-8.791010,-8.791206,-8.791401,-8.791596,-8.791792,-8.791987,-8.792183,-8.792378,-8.792574,-8.792769,-8.792964,-8.793160,-8.793355,-8.793551,-8.793746,-8.793942,-8.794137,-8.794332,-8.794528,-8.794723,-8.794919,-8.795114,-8.795310,-8.795505,-8.795700,-8.795896,-8.796091,-8.796287,-8.796482,-8.796678,-8.796873,-8.797069,-8.797264,-8.797459,-8.797655,-8.797850,-8.798046,-8.798241,-8.798437,-8.798632,-8.798827,-8.799023,-8.799218,-8.799414,-8.799609,-8.799805,-8.800000,
-8.487785,-8.488030,-8.488274,-8.488518,-8.488763,-8.489007,-8.489251,-8.489496,-8.489740,-8.489984,-8.490228,-8.490473,-8.490717,-8.490961,-8.491206,-8.491450,-8.491694,-8.491938,-8.492183,-8.492427,-8.492671,-8.492916,-8.493160,-8.493404,-8.493648,-8.493893,-8.494137,-8.494381,-8.494626,-8.494870,-8.495114,-8.495358,-8.495603,-8.495847,-8.496091,-8.496336,-8.496580,-8.496824,-8.497069,-8.497313,-8.497557,-8.497801,-8.498046,-8.498290,-8.498534,-8.498779,-8.499023,-8.499267,-8.499511,-8.499756,-8.500000,
-8.185343,-8.185636,-8.185929,-8.186222,-8.186515,-8.186809,-8.187102,-8.187395,-8.187688,-8.187981,-8.188274,-8.188567,-8.188861,-8.189154,-8.189447,-8.189740,-8.190033,-8.190326,-8.190619,-8.190913,-8.191206,-8.191499,-8.191792,-8.192085,-8.192378,-8.192671,-8.192965,-8.193258,-8.193551,-8.193844,-8.194137,-8.194430,-8.194723,-8.195017,-8.195310,-8.195603,-8.195896,-8.196189,-8.196482,-8.196775,-8.197069,-8.197362,-8.197655,-8.197948,-8.198241,-8.198534,-8.198827,-8.199121,-8.199414,-8.199707,-8.200000,
-7.882902,-7.883244,-7.883586,-7.883928,-7.884270,-7.884612,-7.884954,-7.885296,-7.885638,-7.885980,-7.886322,-7.886663,-7.887005,-7.887347,-7.887689,-7.888031,-7.888373,-7.888715,-7.889057,-7.889399,-7.889741,-7.890083,-7.890425,-7.890767,-7.891109,-7.891451,-7.891793,-7.892135,-7.892477,-7.892819,-7.893161,-7.893503,-7.893845,-7.894187,-7.894529,-7.894871,-7.895213,-7.895554,-7.895896,-7.896238,-7.896580,-7.896922,-7.897264,-7.897606,-7.897948,-7.898290,-7.898632,-7.898974,-7.899316,-7.899658,-7.900000,
-7.580471,-7.580861,-7.581252,-7.581642,-7.582033,-7.582424,-7.582814,-7.583205,-7.583595,-7.583986,-7.584376,-7.584767,-7.585158,-7.585548,-7.585939,-7.586329,-7.586720,-7.587111,-7.587501,-7.587892,-7.588282,-7.588673,-7.589064,-7.589454,-7.589845,-7.590235,-7.590626,-7.591016,-7.591407,-7.591798,-7.592188,-7.592579,-7.592969,-7.593360,-7.593751,-7.594141,-7.594532,-7.594922,-7.595313,-7.595704,-7.596094,-7.596485,-7.596875,-7.597266,-7.597656,-7.598047,-7.598438,-7.598828,-7.599219,-7.599609,-7.600000,
-7.278096,-7.278535,-7.278973,-7.279411,-7.279849,-7.280287,-7.280725,-7.281163,-7.281601,-7.282039,-7.282477,-7.282915,-7.283353,-7.283791,-7.284229,-7.284668,-7.285106,-7.285544,-7.285982,-7.286420,-7.286858,-7.287296,-7.287734,-7.288172,-7.288610,-7.289048,-7.289486,-7.289924,-7.290362,-7.290801,-7.291239,-7.291677,-7.292115,-7.292553,-7.292991,-7.293429,-7.293867,-7.294305,-7.294743,-7.295181,-7.295619,-7.296057,-7.296495,-7.296934,-7.297372,-7.297810,-7.298248,-7.298686,-7.299124,-7.299562,-7.300000,
