0.000000,0.300000,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000,
0.000284,0.300256,0.600227,0.900199,1.200170,1.500142,1.800114,2.100085,2.400057,2.700028,3.000000,
0.025388,0.322849,0.620311,0.917772,1.215233,1.512694,1.810155,2.107616,2.405078,2.702539,3.000000,
0.404571,0.664114,0.923657,1.183199,1.442742,1.702285,1.961828,2.221371,2.480914,2.740457,3.000000,
0.498716,0.748844,0.998973,1.249101,1.499229,1.749358,1.999486,2.249615,2.499743,2.749872,3.000000,
0.499722,0.749750,0.999778,1.249805,1.499833,1.749861,1.999889,2.249917,2.499944,2.749972,3.000000,
0.475475,0.727927,0.980380,1.232832,1.485285,1.737737,1.990190,2.242642,2.495095,2.747547,3.000000,
0.098212,0.388390,0.678569,0.968748,1.258927,1.549106,1.839285,2.129463,2.419642,2.709821,3.000000,
0.001329,0.301197,0.601064,0.900931,1.200798,1.500665,1.800532,2.100399,2.400266,2.700133,3.000000,
0.000014,0.300013,0.600011,0.900010,1.200008,1.500007,1.800006,2.100004,2.400003,2.700001,3.000000,
0.000000,0.300000,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000,

